rank,score,frame_eps,elapsed,forward
10,-21.0,760,37.537270069122314,33.553059816360474
7,-21.0,760,42.334335803985596,37.85150456428528
6,-21.0,760,43.15011429786682,38.530959129333496
4,-21.0,760,44.64203429222107,40.25055480003357
0,-21.0,760,45.03629183769226,39.96175956726074
2,-21.0,760,45.262917041778564,40.87582588195801
8,-21.0,760,44.83280420303345,39.57644963264465
5,-21.0,760,45.310319662094116,40.462950706481934
3,-21.0,760,45.581576108932495,40.475422859191895
9,-21.0,760,45.659483671188354,40.334693908691406
11,-21.0,760,45.11867427825928,39.98610019683838
1,-21.0,760,46.82152533531189,41.127254247665405
47.16534948348999
5,-21.0,756,41.947617292404175,36.84156107902527
4,-21.0,756,42.99168276786804,38.009257078170776
1,-21.0,756,43.543235063552856,38.3692409992218
2,-21.0,756,43.48552060127258,38.507351875305176
0,-21.0,756,47.28409123420715,42.527591943740845
3,-21.0,756,48.8283851146698,42.58694911003113
8,-21.0,816,47.45114541053772,41.530017375946045
6,-21.0,756,48.773162603378296,42.74543762207031
11,-21.0,756,47.773648738861084,43.061461448669434
7,-21.0,756,49.326529026031494,43.497376918792725
10,-21.0,756,48.338308811187744,42.190027713775635
9,-21.0,756,49.28347563743591,44.06452798843384
51.082387924194336
5,-21.0,761,44.39154648780823,38.871366024017334
2,-21.0,761,45.00835371017456,40.23731207847595
3,-21.0,761,45.10571026802063,39.41367149353027
4,-21.0,761,47.98150825500488,42.56052589416504
0,-21.0,761,48.21819567680359,42.270143032073975
7,-21.0,761,48.30955171585083,42.930434703826904
1,-21.0,761,49.73828983306885,43.97416591644287
9,-21.0,761,49.82191705703735,43.37633228302002
10,-21.0,761,48.946284770965576,43.48963642120361
6,-21.0,761,51.12499928474426,45.02223992347717
11,-21.0,761,50.484333515167236,44.52269983291626
8,-21.0,761,51.523606061935425,46.04505968093872
53.649468421936035
2,-21.0,760,37.5748291015625,33.23126435279846
4,-21.0,760,42.63302659988403,38.49114751815796
0,-21.0,760,43.139946937561035,36.913315296173096
5,-21.0,760,42.7538366317749,38.747679471969604
7,-21.0,760,42.18633699417114,36.36949348449707
3,-21.0,760,44.32032322883606,39.26925992965698
1,-21.0,760,45.7076940536499,40.06136512756348
6,-21.0,760,44.63181400299072,40.34924125671387
9,-21.0,760,45.40922570228577,39.75084066390991
10,-21.0,760,46.16269016265869,41.32425022125244
11,-21.0,760,46.211254358291626,41.00399899482727
8,-21.0,760,47.085105180740356,41.23179507255554
49.303759813308716
6,-21.0,756,39.35742950439453,35.22176194190979
0,-21.0,756,44.77931332588196,39.86975455284119
9,-21.0,756,45.194066524505615,40.860215187072754
8,-21.0,756,45.76277470588684,40.29566550254822
5,-21.0,756,48.67509412765503,43.222951889038086
7,-21.0,756,49.13593149185181,43.98759078979492
1,-21.0,756,50.241724729537964,44.936795234680176
2,-21.0,756,50.54746770858765,44.898969411849976
4,-21.0,756,50.39166235923767,45.312801361083984
11,-21.0,756,49.102405071258545,42.0104820728302
10,-21.0,756,49.36984872817993,43.8935444355011
3,-20.0,836,51.90142846107483,46.18706941604614
52.29488754272461
2,-21.0,758,44.63417029380798,39.20912003517151
9,-21.0,758,46.116337299346924,41.40219044685364
5,-21.0,758,48.869996786117554,44.43116903305054
3,-21.0,758,50.747355461120605,44.592265129089355
8,-21.0,758,49.14352297782898,44.1096305847168
4,-21.0,758,50.68673801422119,44.85672664642334
7,-21.0,758,50.84532070159912,45.271870136260986
6,-21.0,758,51.60832691192627,45.92472743988037
1,-21.0,758,53.8663272857666,47.94798302650452
0,-21.0,758,54.01527667045593,48.25447750091553
10,-21.0,758,51.54323124885559,45.86069989204407
11,-21.0,758,51.67294955253601,45.847227573394775
54.92292785644531
9,-21.0,758,29.163506269454956,25.23304510116577
3,-21.0,758,39.063770055770874,34.60384011268616
7,-21.0,758,39.56740951538086,35.15265774726868
2,-21.0,758,43.344826221466064,38.26299166679382
6,-21.0,758,43.896358013153076,38.46817660331726
1,-21.0,758,45.576778411865234,39.71175813674927
4,-21.0,758,44.955050230026245,40.32837891578674
8,-21.0,758,43.34711527824402,38.10773777961731
10,-21.0,758,43.36928844451904,38.56605863571167
11,-21.0,758,44.44735240936279,39.29360866546631
5,-21.0,758,47.138131856918335,41.950406074523926
0,-21.0,758,48.19491958618164,41.790319204330444
48.372596740722656
